"Employee_Id","Gender","Age","Position","Base_Salary","Department","Bonus","Rating","Experience","Remotework","TotalCompensation"
"E1001","Male",28,"System Administrator",180000,"Finance",12000,3,2,1,192000
"E1002","Male",25,"Software Engineer",105000,"Finance",5000,2,6,1,110000
"E1003","Male",27,"Data Analyst",130000,"IT",19000,4,10,1,149000
"E1004","Male",27,"Software Engineer",105000,"HR",6000,4,8,1,111000
"E1005","Male",40,"System Administrator",170000,"IT",15000,1,13,1,185000
"E1006","Female",32,"Software Engineer",105000,"HR",20000,1,5,1,125000
"E1007","Male",40,"Data Analyst",180000,"Marketing",8000,2,10,0,188000
"E1008","Male",36,"System Administrator",195000,"Finance",19000,1,8,0,214000
"E1009","Female",36,"Software Engineer",180000,"Finance",15000,3,3,0,195000
"E1010","Male",32,"System Administrator",105000,"HR",7000,4,3,1,112000
"E1011","Female",38,"Software Engineer",185000,"IT",12000,3,9,1,197000
"E1012","Male",29,"Project Manager",170000,"HR",20000,4,14,0,190000
"E1013","Female",35,"System Administrator",110000,"HR",15000,4,9,1,125000
"E1014","Male",31,"Project Manager",185000,"Finance",9000,3,11,0,194000
"E1015","Female",32,"Project Manager",165000,"HR",9000,4,9,0,174000
"E1016","Male",34,"System Administrator",165000,"Finance",10000,2,4,1,175000
"E1017","Male",39,"Data Analyst",135000,"Marketing",15000,2,9,1,150000
"E1018","Male",37,"System Administrator",170000,"IT",13000,3,11,1,183000
"E1019","Male",32,"Software Engineer",120000,"HR",14000,2,8,1,134000
"E1020","Male",33,"System Administrator",170000,"Marketing",20000,2,11,1,190000
"E1021","Male",35,"System Administrator",115000,"IT",10000,5,1,1,125000
"E1022","Female",33,"Data Analyst",195000,"Finance",7000,4,8,0,202000
"E1023","Male",36,"Project Manager",165000,"HR",19000,3,12,1,184000
"E1024","Female",40,"Data Analyst",195000,"HR",20000,5,14,1,215000
"E1025","Male",32,"Data Analyst",1e+05,"Marketing",8000,2,3,0,108000
"E1026","Female",40,"Software Engineer",110000,"Finance",16000,5,11,0,126000
"E1027","Male",40,"Software Engineer",145000,"IT",19000,1,12,0,164000
"E1028","Male",37,"Software Engineer",155000,"Finance",18000,2,11,1,173000
"E1029","Female",32,"Data Analyst",180000,"IT",19000,5,7,1,199000
"E1030","Male",26,"Project Manager",145000,"IT",9000,3,10,1,154000
"E1031","Male",35,"System Administrator",180000,"Finance",12000,4,5,0,192000
"E1032","Male",31,"Project Manager",145000,"Finance",19000,4,8,0,164000
"E1033","Female",33,"Project Manager",190000,"Finance",11000,1,3,0,201000
"E1034","Male",33,"Project Manager",1e+05,"HR",15000,3,1,0,115000
"E1035","Female",39,"Project Manager",120000,"IT",13000,5,2,1,133000
"E1036","Male",29,"Software Engineer",195000,"Finance",8000,4,12,0,203000
"E1037","Male",36,"Software Engineer",140000,"Marketing",8000,2,12,1,148000
"E1038","Male",38,"Software Engineer",140000,"IT",13000,4,11,1,153000
"E1039","Male",35,"Software Engineer",145000,"IT",19000,1,1,0,164000
"E1040","Female",25,"Data Analyst",1e+05,"Marketing",14000,3,4,0,114000
"E1041","Male",38,"Software Engineer",165000,"IT",12000,3,5,1,177000
"E1042","Male",36,"System Administrator",190000,"Marketing",6000,3,7,1,196000
"E1043","Male",32,"Project Manager",1e+05,"Finance",10000,5,14,1,110000
"E1044","Female",39,"Software Engineer",165000,"Marketing",14000,2,10,1,179000
"E1045","Female",38,"System Administrator",180000,"Finance",10000,3,14,1,190000
"E1046","Male",26,"System Administrator",145000,"HR",19000,3,15,1,164000
"E1047","Male",31,"Software Engineer",110000,"IT",13000,2,11,1,123000
"E1048","Female",34,"System Administrator",130000,"Finance",13000,2,2,1,143000
"E1049","Male",29,"System Administrator",145000,"IT",13000,5,9,1,158000
"E1050","Male",35,"Data Analyst",110000,"Finance",15000,5,12,1,125000
